age,pos,TS%,TRB%,3PAr,FTAr
22,SG,16.3,8.1,85.7,71.4
27,PG,44.4,6.2,55.6,0
31,PF,44.4,21.5,40,80
26,C,0,0,0,0
29,C,0,9,0,0
23,SG,61.8,6.6,31,39.7
23,SF,62,7.9,40.1,25.2
29,PG,53.5,8.4,31.2,32.7
24,SF,56,10.4,37.2,29.8
25,PF,59.2,13.8,43.7,23.8
23,PF,58.6,8.3,67.2,14.1
21,C,56.8,19.6,2.3,15.7
24,PG,56.3,6.9,60.1,11.1
33,C,58.1,14.1,44.1,19.7
26,C,54.5,12.6,40.4,29.3
22,PG,51.6,6.9,39.2,39.2
27,SG,48.1,5.6,48.5,18.7
23,C,68.8,15.2,2.1,27.5
22,PG,42.5,7.8,44.2,14.2
25,PG,61.2,9.4,42.6,10.3
24,PF,33.8,13.5,37.5,25
19,PG,46,3.5,40,20
24,PF,34,11.1,40,40
22,PG,25,0,50,0
28,SG,54.1,6.1,37.8,13.6
29,PG,62.7,6,50,38.4
30,C,64.4,23.6,1,34
35,PF,52.5,10.1,28.9,20.6
20,SG,50.2,5.5,42.2,17.2
21,SG,58.7,3.9,60.8,10.2
30,SF,47.5,8.1,52.5,22.1
24,PF,52.5,11,35.8,27.1
34,SF,64.3,7.4,53.5,29.6
27,SF,62.5,6.1,41.3,15.7
19,PF,50.5,9.9,39.1,29.1
23,C,58.8,15.6,8.8,22.4
34,PF,51.5,10.4,76.1,16.2
22,PF,53.8,12.4,27.9,11.8
22,PF,60.5,18.3,4.7,34.9
25,C,56.7,16.9,9.2,32.1
22,PF,60.6,12.6,38.7,38.7
20,SF,50.4,16.2,9.4,40.6
20,C,40.7,22.2,0,80
28,SG,53.4,7.8,35.4,22.2
35,PF,51.2,7.5,27.9,20.6
25,C,52.9,17,19.3,40.4
21,SG,49.9,3.4,53.3,15.6
29,PG,61.8,5.2,51.6,51.6
30,C,56.4,17.4,4.2,58.3
20,SG,47.1,7.1,53.8,23.1
24,PF,48.4,12.4,31.8,18.2
22,PF,66.1,9.9,33.3,13.3
20,SF,58.3,11.6,0,0
23,PG,33.3,7.5,44.4,0
27,PF,57.4,8.1,33.8,33.7
27,SG,56.6,8.3,59.2,11.7
31,PF,60.2,12.8,49,12.9
27,SG,56.5,6.6,57.6,15.1
28,PG,51.7,6,38.6,17
22,PG,55.8,6.8,22.7,42
26,C,68.1,16.2,0,34.3
34,SF,54.3,10.4,73.9,16.4
21,PF,58,15.9,0.8,19.5
30,SG,53.3,11.9,35.1,36.1
30,C,47.7,17.4,41.5,16.4
26,PG,52.8,5.2,42,22.3
20,PF,51.2,16.3,13.2,18.6
23,SG,47.7,7.8,34.5,25
26,C,64,22.8,5.1,40.7
22,SG,58.6,7.2,45,15
34,PF,25.2,7.6,88.2,11.8
24,PF,63.8,16.2,11.1,25
22,PF,44.4,9.2,47.1,58.8
33,SG,47,13.6,25,75
22,PF,51.2,17.1,0,50
25,PF,77.3,20.7,0,66.7
22,SG,40,5.6,60,0
30,SF,60.3,8.7,3.3,43
34,C,57.1,12,19.8,24.1
23,PG,52.4,12.2,17.4,17.9
25,SG,59.3,7.2,39.1,38.2
26,SG,57,4.3,65.6,15.5
31,PG,59.2,3.9,67.4,18.7
33,PF,55.3,13.4,36.9,22.8
24,PF,55.7,15.3,49,13.1
24,C,61.2,17.3,0,32.3
21,SG,50.7,7.6,28.3,17.1
33,SG,53.2,6,56.7,18.5
20,SF,71.1,10.2,24.7,49.4
22,PF,68.2,16.8,1.5,38.8
33,SF,43.7,12.4,44.8,69
